30.3,-23.1,1
0.6,-6.7,2
0.7,-6.8,2
-7.1,-51.3,4
-7.2,-51.3,4
-4.4,-77.8,1
-7.2,-76.9,9
-44.1,151.4,1
16.3,-98.0,108
-44.1,151.5,12
-1.5,20.5,1
-1.5,20.6,4
-37.8,153.1,67
-11.5,124.2,1
6.2,-13.5,2
-2.2,16.8,1
-2.2,16.9,2
39.7,-148.8,2
6.1,-13.5,2
30.1,-55.5,11
17.2,87.8,1
16.2,-98.4,12
16.1,-98.5,3
1.0,-5.6,1
1.6,-5.4,2
16.3,-98.3,131
-41.6,152.9,2
-12.2,119.8,20
26.2,-157.9,12
26.2,-157.8,52
16.5,-98.2,37
26.4,-157.7,4
-46.3,-41.5,4
-3.9,-71.7,1
-0.7,33.1,9
31.4,31.6,1
-3.1,-71.2,1
31.7,31.5,1
38.2,-57.9,2
-4.9,-38.8,3
23.8,-61.0,2
-6.4,150.8,32
23.9,-61.0,9
24.3,-60.5,9
-1.2,16.9,9
-5.2,109.8,2
-5.2,109.7,6
-13.2,128.4,10
23.9,-60.9,4
-6.4,150.9,27
36.3,162.3,1
35.9,162.0,1
37.6,-150.1,4
37.6,-150.2,1
37.7,-150.0,2
36.3,166.7,1
30.2,-55.5,9
37.5,-150.1,1
0.4,-69.7,36
11.6,-117.4,9
-27.4,18.4,2
-13.2,128.2,1
-9.1,-49.7,10
-9.2,-49.8,7
-9.3,-49.7,5
4.0,-15.5,5
-16.9,-51.2,3
10.5,-109.9,3
6.2,-13.6,6
26.1,-158.8,5
26.1,-158.7,2
29.9,-55.4,27
16.2,-98.2,22
-13.3,132.6,5
-13.3,132.5,3
34.6,-63.9,1
34.6,-63.8,3
34.7,-63.8,3
-44.0,152.2,13
-7.5,-48.7,15
-5.3,-69.6,2
-7.6,-48.6,3
-9.2,-50.7,4
-9.1,-50.7,12
1.7,-69.6,1
15.6,-97.8,1
16.1,-97.7,3
16.0,-97.7,2
-7.5,-48.6,33
0.6,-69.6,5
0.5,-69.6,13
-4.3,-77.9,12
1.4,2.5,6
1.3,2.5,12
-4.3,-77.8,4
-18.1,-152.9,26
-3.4,-71.1,5
-18.3,-152.9,2
-37.7,152.7,6
-37.7,152.6,2
-37.1,150.2,1
-43.8,151.9,13
-2.3,-51.2,10
40.2,-60.4,3
-2.2,-51.1,1
-43.8,151.8,5
30.8,-55.0,4
-36.4,149.9,1
-13.8,126.9,2
-0.9,17.0,11
30.4,-154.5,81
29.5,-55.8,12
36.5,-153.7,4
36.7,-153.8,1
-6.0,50.3,2
-13.3,128.4,19
1.2,-5.0,1
-31.8,152.1,2
-0.5,17.0,6
0.7,-3.6,27
24.0,-61.4,7
30.1,51.6,1
30.0,51.2,3
-4.2,9.9,3
-2.0,13.7,1
-9.3,50.1,1
-42.4,147.9,1
40.3,-60.7,1
40.4,-60.6,8
40.3,-60.6,3
-2.8,-48.5,1
-13.5,128.4,6
-17.7,-152.3,2
-16.0,123.0,3
-3.1,13.6,2
-4.6,22.6,1
5.9,-13.6,1
-1.7,21.3,1
31.3,-54.7,1
31.1,-54.2,1
2.5,128.7,2
31.2,-54.9,2
-31.3,152.4,7
-3.0,13.1,1
41.1,-60.2,8
-31.3,152.5,6
-33.9,150.0,1
-3.6,-49.4,1
-16.8,-51.3,28
-1.3,17.3,3
15.5,-97.8,1
-1.3,17.2,6
-31.4,24.3,1
-5.4,-69.1,5
-5.3,-69.1,17
30.5,-154.3,57
-18.1,-152.5,6
-8.6,143.3,4
-8.7,143.2,3
3.6,-15.8,2
-2.0,-72.5,3
-32.3,150.0,3
12.0,-118.1,1
40.8,-60.6,4
12.0,-118.0,1
-13.8,128.4,10
-4.9,-39.1,2
5.3,-15.0,7
5.3,-14.9,4
18.5,90.4,1
-31.7,152.6,4
28.9,-55.9,1
-6.9,-77.2,14
-5.0,-77.8,1
-2.3,21.2,3
39.8,-148.9,3
-8.7,111.0,3
-8.7,110.9,2
39.4,-150.1,1
39.7,-148.9,1
-2.1,16.6,2
40.0,-148.9,1
-4.4,-70.9,1
-4.8,-77.5,5
-6.3,-53.2,8
-6.4,-53.2,4
30.1,-55.6,4
25.4,46.9,1
1.6,2.8,7
-46.0,-37.6,4
30.3,-154.6,10
37.6,-65.3,6
37.5,-65.3,1
38.6,-65.6,1
37.4,-65.2,1
-5.4,143.6,1
-0.8,33.2,2
16.3,-98.4,46
40.4,-60.5,19
29.4,50.3,2
-32.2,149.2,10
-9.8,160.2,3
-16.7,-51.3,4
-9.8,160.3,17
-2.5,16.0,1
-15.2,128.0,1
-14.4,128.8,2
-1.0,17.1,5
-8.2,-76.9,2
-6.7,-53.4,24
-16.3,-51.0,9
-7.8,-51.1,2
-2.6,-72.2,1
5.7,-14.1,1
-2.8,126.3,1
-36.5,149.1,2
-36.7,149.0,1
-32.3,151.8,1
-32.3,151.9,8
-13.8,126.7,4
-9.8,-50.2,10
4.0,62.8,6
-42.1,-41.7,1
3.9,62.7,12
-1.9,-72.4,2
-2.0,-72.3,4
36.4,170.6,1
36.5,170.8,2
-32.7,149.7,1
0.2,-69.8,10
15.2,-97.5,8
-5.5,-69.7,3
-32.3,149.9,5
-5.2,-38.9,2
16.5,-100.1,4
16.6,-100.0,3
-13.6,126.5,1
29.5,-56.1,10
-8.7,-49.8,1
16.0,-98.0,54
-1.0,-71.9,1
-7.0,-51.4,1
0.4,-3.8,3
16.2,-98.1,11
-4.4,-78.7,4
-6.7,-53.5,28
3.9,-15.5,5
-7.3,-76.9,5
-7.3,-77.0,8
-7.0,-76.7,2
-16.0,123.1,5
0.1,-69.8,23
24.1,-61.5,12
-2.1,-70.6,1
-2.1,-70.5,5
-9.6,-49.7,1
-9.6,-49.8,3
-4.0,55.8,2
-7.2,-75.1,9
-7.2,-75.2,4
-6.8,-74.7,1
-3.7,-71.3,2
-16.2,-51.1,6
-6.5,150.8,3
39.8,-61.1,1
-7.5,-75.0,1
38.9,-62.6,2
-45.9,-42.6,2
1.8,2.8,12
-32.3,150.2,7
-32.9,150.5,1
-13.0,119.8,5
-32.2,149.8,2
-32.9,149.2,6
-32.7,149.2,4
-32.8,149.2,3
39.2,-58.0,4
-32.8,149.1,1
39.2,-58.1,4
-3.2,-70.8,1
16.7,-98.1,19
36.8,-151.0,4
37.0,-150.5,1
3.9,160.8,8
-3.1,-72.2,1
-36.5,149.4,1
-5.0,-77.5,13
-5.2,-77.5,1
-3.3,-72.3,3
36.9,167.2,1
37.0,166.8,2
37.1,167.4,1
-1.7,21.4,1
34.9,162.8,1
-32.0,149.1,1
41.1,-60.3,1
-43.9,152.3,14
-4.3,9.7,4
-9.1,-50.6,4
-37.0,-1.3,1
-22.2,-170.0,10
-8.8,50.1,1
1.0,4.4,3
-43.8,152.0,16
-43.8,151.7,1
15.6,-98.0,1
15.6,-97.9,3
-32.3,149.7,3
-44.0,-42.7,1
29.2,50.2,5
15.8,-97.8,1
-9.8,116.2,2
-9.9,116.1,1
-38.2,153.0,3
-9.8,116.1,1
-45.9,-37.3,2
-9.1,-49.3,2
-9.0,-49.7,1
-9.1,-49.6,2
-13.4,128.4,11
-26.4,-110.3,7
-13.4,128.5,17
-3.0,17.5,1
-2.7,17.4,1
30.5,-154.8,7
30.5,-154.7,6
30.8,-154.6,1
30.0,-156.1,1
11.4,-117.5,2
-0.6,17.5,2
-43.7,152.1,4
-36.9,149.8,1
-2.0,-72.4,3
-37.0,149.8,1
-4.8,-52.4,2
-33.9,149.7,2
11.2,-116.9,4
6.3,160.2,4
-12.9,119.8,7
-37.6,153.1,18
-46.2,-42.2,5
-37.5,153.1,1
-4.0,14.2,13
30.0,-55.4,50
30.3,-55.3,5
-4.3,-77.7,3
29.8,-55.5,8
-3.9,-77.8,1
-4.3,-70.5,1
-46.4,-41.5,9
11.9,-115.3,9
12.0,-115.2,7
11.8,-115.1,1
12.0,-115.3,4
40.1,-60.5,1
38.7,-58.1,1
12.0,-115.1,1
15.5,-98.0,2
29.0,50.1,8
-9.6,-49.9,3
-45.2,-37.3,1
-45.3,-37.7,1
-6.2,-53.4,2
-14.6,128.3,7
-13.2,128.5,24
-4.1,9.9,2
-1.8,20.0,2
4.7,-15.3,3
-30.3,152.3,1
-6.3,113.8,5
-0.8,-70.3,32
-16.3,123.5,1
29.6,-55.7,11
23.8,-60.9,1
24.0,-61.0,2
5.8,-14.5,5
29.6,-56.0,12
38.5,-58.1,2
-32.6,149.8,1
-32.6,150.0,2
0.7,-7.7,1
-4.6,113.1,1
16.7,-100.1,1
-0.8,17.1,10
1.8,3.0,13
1.8,3.1,11
-4.9,-70.5,1
-10.0,-162.8,1
-13.1,119.6,12
34.7,-63.7,3
34.6,-63.7,1
39.8,-148.5,1
-17.9,-152.5,2
3.2,-16.1,2
-36.3,149.9,4
39.8,-148.8,21
3.8,-15.8,1
-4.4,9.7,4
6.3,-13.3,2
-32.2,150.2,3
36.4,170.8,3
36.5,170.7,1
-36.9,149.3,3
-36.8,149.5,5
-7.5,-48.5,14
39.1,172.9,1
0.2,-70.3,3
0.1,-70.3,2
39.1,173.1,1
39.1,173.0,3
0.2,-70.2,3
-44.8,-38.0,1
-44.8,-38.1,1
-10.9,50.6,1
36.1,160.7,1
-5.6,108.3,3
-5.2,109.6,23
-17.1,122.1,4
30.3,-55.6,1
37.9,-63.8,8
-24.9,-170.5,7
-3.6,22.2,1
-24.8,-170.6,13
-17.1,122.2,1
-46.0,-37.5,1
-24.8,-170.7,2
-6.1,-79.3,1
-6.2,-79.3,4
-5.4,-68.9,1
-3.9,10.0,1
-25.0,-170.2,2
-24.8,-169.9,1
-5.3,110.4,1
-25.0,-170.4,3
-24.9,-170.3,5
-24.9,-170.2,5
-16.1,-155.7,2
-16.1,-155.6,4
-8.4,-50.9,3
-46.5,-41.6,2
-32.4,149.9,7
-32.4,150.0,2
-9.9,160.3,1
16.5,-97.9,14
1.5,-5.4,16
1.3,-5.2,1
29.2,50.3,30
41.0,-60.3,1
41.0,-60.2,6
-32.3,147.6,1
-9.0,-50.6,2
-5.4,107.6,1
16.2,-97.7,1
-32.4,147.6,2
-32.2,149.3,18
-32.3,149.3,5
-32.6,148.9,1
-12.5,128.5,2
-6.3,-53.1,4
-9.3,113.0,3
-6.4,-53.1,1
-0.2,-7.4,61
-9.2,113.1,2
-9.2,113.0,2
-3.9,-52.9,6
-7.1,-77.0,21
31.2,-55.0,1
-6.3,-50.5,2
-6.4,-50.7,1
-6.3,-50.6,1
-5.6,-69.5,2
-4.7,93.8,2
36.4,-153.8,1
29.8,-55.7,5
4.0,-15.6,13
-2.4,-71.4,12
-6.5,150.7,2
11.5,-117.4,3
-32.9,149.6,1
-1.7,20.1,2
30.5,-154.4,37
30.2,-154.6,4
30.4,-154.4,122
-30.6,24.0,1
-6.4,-76.2,1
-37.8,153.2,40
-4.1,-77.9,7
-4.1,-77.8,12
1.2,4.9,9
-1.7,-71.4,4
-17.0,141.0,1
-8.7,-69.3,2
-1.6,20.9,1
16.3,-98.5,21
-3.1,-50.3,3
-26.1,75.7,1
-3.1,-50.4,1
24.1,-61.4,13
-3.5,-70.8,2
16.4,-98.0,46
25.6,-59.7,2
16.4,-119.8,6
25.6,-59.6,1
15.1,-97.5,4
-17.4,-152.7,2
-43.6,152.0,1
25.7,-59.8,1
-17.4,-152.6,1
-2.1,-51.3,3
-2.2,-51.2,7
-5.5,-70.6,1
-5.4,-70.5,1
-5.9,49.8,19
-2.2,16.7,2
-2.3,21.4,6
-2.4,21.5,5
-7.5,-48.8,8
-31.9,152.1,1
-12.4,134.6,1
-36.7,149.3,2
5.6,-14.8,7
6.1,-13.7,7
29.1,50.2,21
5.7,-14.6,3
-43.9,152.2,14
5.7,-14.4,1
30.5,-153.8,3
5.1,-14.6,1
29.5,-55.6,2
-4.0,-52.9,1
29.5,-55.7,5
16.2,-100.1,3
-9.3,50.2,5
-3.3,-71.1,5
-4.3,-78.7,8
16.6,-97.9,5
6.2,-13.7,4
3.7,63.4,1
16.4,-98.2,69
29.9,51.3,4
-13.1,128.4,9
-14.5,128.4,1
-14.5,128.3,1
-46.4,-41.9,4
-46.1,-37.7,2
-46.1,-37.6,2
5.2,110.3,20
-46.5,-42.1,1
-11.7,124.5,1
30.6,-154.7,3
-22.1,-170.0,8
-22.2,-170.1,12
29.3,-56.1,14
-7.2,-75.4,2
-7.5,-75.5,1
-0.2,9.1,2
-0.2,8.9,1
-4.2,9.0,1
11.9,-118.1,1
15.5,-97.5,12
-3.8,14.9,1
-32.6,149.9,2
-32.7,149.8,3
-13.8,128.3,1
-2.5,-71.3,2
4.6,108.4,2
-4.2,-77.7,17
-6.2,79.2,1
4.0,63.0,8
-18.0,-152.4,4
-1.8,21.4,5
2.3,-29.8,3
31.1,-54.9,1
2.3,-29.9,2
31.2,-54.8,4
31.1,-54.8,7
-32.5,149.7,1
29.7,-56.0,7
16.8,-98.0,5
0.3,-69.7,43
0.2,-69.7,10
-46.4,-41.4,6
-37.9,152.9,1
-16.1,124.0,17
-2.2,21.4,1
-2.7,-71.4,4
-6.2,-79.0,10
-6.4,-79.1,1
15.8,-98.0,3
5.1,-15.1,1
-4.4,56.1,1
3.8,109.2,5
2.6,124.1,1
4.5,-15.6,5
-27.4,18.3,2
-46.4,-41.7,1
-8.8,-49.9,8
-9.0,-50.0,11
16.5,-98.8,22
-3.6,14.1,1
3.7,64.2,1
-16.1,123.1,1
36.4,171.0,2
-44.2,152.5,5
-13.1,119.5,11
16.6,-98.2,23
-13.1,119.8,2
-31.7,152.5,9
5.7,-14.7,3
30.6,-23.2,5
-16.6,122.2,42
-16.1,123.0,1
-13.8,126.3,1
-17.1,122.0,2
-13.7,126.6,7
1.8,2.9,19
-4.0,-77.6,1
15.4,-97.6,27
36.8,-150.9,2
-14.5,129.0,1
-6.4,-53.5,4
-7.2,-53.5,1
30.9,-54.9,2
1.7,7.5,5
-36.9,149.6,2
-11.5,50.6,1
-17.0,-51.2,1
40.8,-60.7,8
17.3,87.8,2
17.4,87.8,1
-5.5,-69.4,8
-2.3,16.3,2
-10.3,-67.8,1
-10.3,-68.0,6
30.5,-154.6,9
-10.2,-67.9,9
-32.7,149.4,2
-10.5,-68.0,1
-10.2,-68.0,5
-10.2,-68.1,1
-4.2,-77.9,4
37.9,-57.9,4
-4.3,55.8,3
-25.8,75.8,5
26.1,-158.9,1
-25.9,75.8,15
-4.9,-77.7,5
-2.3,-51.1,4
-39.2,152.5,1
-39.1,152.6,3
-39.1,152.8,10
-39.1,152.7,3
-37.0,149.4,3
-4.6,-43.2,1
-4.7,-43.2,1
-2.6,17.4,1
-4.3,-44.7,1
-11.6,121.4,1
-11.5,121.4,3
4.3,64.3,1
-46.4,-38.8,1
-0.7,-70.2,7
-46.3,-38.6,1
-0.8,-70.2,9
-6.8,-77.2,14
38.8,-58.1,1
-2.9,22.3,2
-8.8,110.6,1
-9.1,-49.8,17
