7.1,-12.5
17.8,-126.8
6.8,-12.7
-14.4,123.2
-26.9,-52.1
1.5,-3.6
-9.9,34.5
-15.5,125.1
19.9,-124.9
20.0,-125.1
20.0,-124.9
19.8,-125.0
1.5,-75.3
26.5,-54.3
-15.8,125.8
-9.4,-61.2
-9.5,-61.2
-9.2,-61.1
-13.9,129.6
4.8,-62.1
5.3,-61.9
-9.2,-61.2
-3.3,-62.3
-1.1,-60.4
-12.9,128.8
-16.1,126.4
0.5,7.2
-14.0,-56.6
0.7,-69.8
0.5,-69.8
-33.2,-57.0
-15.4,124.2
0.6,7.2
22.7,-93.9
22.6,-93.9
3.2,25.5
-5.9,108.8
3.2,25.6
32.7,47.5
-9.6,-61.3
3.3,24.1
3.0,25.4
-7.0,115.4
0.8,-54.3
-7.9,-48.1
-8.4,-48.5
-7.9,-48.0
-14.7,-57.8
0.7,-54.4
-1.4,-48.8
5.3,-65.9
-22.0,-43.9
17.7,-126.6
29.9,51.5
29.8,51.4
-0.2,-68.6
29.8,51.5
-13.3,129.6
-35.9,153.1
-33.8,-56.1
-12.1,-59.5
0.1,8.9
0.2,9.2
0.0,8.8
-4.4,27.5
0.0,8.9
-24.7,-67.4
26.5,-90.6
22.9,45.7
-16.2,126.6
25.6,-91.8
-5.8,109.3
-11.6,-56.5
-13.2,-56.1
-18.9,50.8
-15.5,124.8
18.3,-126.8
-18.3,-55.6
-0.4,70.3
-36.9,154.9
-36.7,155.1
-22.5,-65.4
-23.5,-52.0
17.5,-127.0
17.6,-127.0
16.2,-127.6
17.7,-126.8
-14.9,-72.4
-14.8,-72.4
-14.8,-72.3
-4.9,-48.4
-5.0,-48.5
-5.0,-48.4
-4.9,-48.5
-14.1,128.9
-4.4,-59.8
3.7,-9.1
-15.6,125.0
-14.2,128.9
3.7,-9.0
3.6,-9.0
-16.8,127.5
-31.5,23.5
-11.1,-56.4
-22.4,-48.9
-4.6,97.3
6.5,25.3
-33.1,-54.9
-4.7,97.4
-4.5,97.2
-4.7,97.3
29.8,-51.9
30.0,-51.9
29.9,-51.9
0.7,-76.0
-11.4,-60.8
-11.4,-60.7
-11.0,55.7
3.2,24.1
-15.1,-73.8
-15.2,-73.8
-0.6,-71.1
-0.3,-71.0
0.5,-75.8
0.6,-75.6
-8.3,-47.9
-12.9,129.0
-12.8,128.9
4.1,-10.1
0.9,-69.8
3.9,-10.2
-32.2,24.0
-32.1,24.0
-12.6,128.7
-12.8,128.7
3.6,-59.2
-3.1,26.6
-32.9,-56.4
3.7,-59.2
17.4,-127.2
-25.1,19.3
4.6,110.3
4.6,110.2
-4.9,-49.1
-8.9,139.6
-4.9,-49.0
-8.8,139.6
-5.9,111.7
-28.4,-108.3
-28.5,-108.4
-28.5,-108.3
-8.9,139.7
-15.0,-72.4
40.0,175.8
19.2,-125.5
19.5,-125.3
-0.1,70.8
0.1,71.8
-6.2,-37.3
-6.1,-37.3
-6.3,-37.3
32.1,-48.6
1.9,7.3
1.9,7.2
23.0,45.2
7.8,-63.0
-14.1,122.4
23.2,45.3
-4.2,9.3
3.2,23.9
-14.2,122.4
-14.7,-57.9
-24.2,17.2
19.4,-100.2
-3.4,-70.6
-3.2,-70.6
-3.6,-70.6
41.3,-50.2
-7.0,115.3
-6.3,-37.1
6.4,25.7
-6.4,-37.3
-1.4,26.1
-31.6,-52.3
-17.3,-69.2
41.3,-50.1
39.3,-179.0
24.9,-92.6
0.9,-69.4
39.4,-179.2
-0.5,-73.4
24.0,-93.3
4.1,24.6
-22.9,-65.3
17.9,-126.6
-5.6,-60.9
-33.1,-56.9
-11.9,-56.9
-0.6,-67.9
25.8,-91.5
-10.3,-56.5
25.9,-91.5
-12.2,-58.3
-29.5,20.7
34.5,59.1
-0.4,-78.8
34.8,59.1
0.9,-76.0
34.6,59.2
34.7,59.1
-28.9,152.9
6.6,25.6
-5.7,109.2
0.3,25.1
26.1,-91.2
27.5,-54.3
32.1,-23.6
-4.1,-77.0
-7.9,149.8
-30.1,127.2
2.6,24.4
2.2,-12.8
3.7,-9.3
-5.4,92.1
-5.5,92.1
0.3,-75.7
-6.1,95.7
3.8,-63.9
-38.3,-61.0
-6.7,-61.2
-18.2,161.5
-18.3,161.6
19.4,-125.4
0.7,9.3
4.0,-63.9
-18.2,161.6
4.1,-9.3
4.0,-9.5
16.1,-95.9
-4.2,29.4
4.4,-8.9
4.2,-9.0
3.5,26.8
-26.9,28.3
-15.5,-71.4
30.4,-51.2
-13.6,41.9
-27.2,-48.9
1.2,-69.5
-12.0,-59.9
-12.0,-59.8
-16.3,125.2
-16.2,125.0
-16.3,125.0
-22.1,-44.6
-4.3,-48.3
-21.1,53.6
-29.4,20.6
-31.7,-52.7
0.1,-75.6
38.6,169.6
-26.6,19.1
24.1,-93.3
2.6,119.1
23.7,-93.4
-25.7,-67.6
-21.4,-48.1
-33.2,-53.0
-34.8,-53.2
0.6,-75.7
-4.5,27.7
27.3,-53.3
30.3,-50.9
26.6,-89.7
27.4,-53.3
-13.8,129.4
-4.7,-48.3
-4.8,-48.4
-3.1,-48.3
-16.0,125.9
22.7,45.9
17.0,-127.7
17.2,-127.6
32.1,-49.5
17.1,-127.6
32.1,-49.6
32.2,-49.5
32.1,-49.4
-39.0,-58.1
5.6,67.1
-24.8,18.4
-24.8,18.3
6.6,25.4
-6.0,108.8
17.3,-127.3
2.7,2.1
2.0,-13.0
-28.3,-54.1
2.1,-13.0
19.0,-126.5
1.9,-13.3
2.9,2.0
1.0,-69.7
1.1,-69.7
-0.7,-67.8
-0.7,-67.9
3.6,-54.6
-14.6,123.3
18.0,-126.6
16.9,-127.1
3.5,-53.8
6.2,25.3
-26.6,19.0
-15.0,-73.8
3.7,-9.4
4.0,-9.3
0.1,-76.5
-0.5,-69.0
-0.2,-68.9
-0.1,25.8
-22.8,-65.1
34.9,59.4
34.8,59.4
27.7,-54.5
-16.0,126.0
-16.3,-60.1
-7.1,115.3
3.1,23.8
19.6,-100.2
-23.2,-64.8
-8.8,139.5
-14.2,128.8
14.3,-90.6
14.3,-90.5
4.8,-57.0
0.7,7.3
-22.0,-44.6
-37.4,-60.1
0.4,10.8
-15.2,-73.9
29.8,-51.6
30.1,-51.7
-35.9,153.2
17.3,-100.1
-4.2,27.6
17.6,-100.1
-21.0,-65.5
-4.5,-59.7
-24.4,-50.9
-24.5,-51.0
-4.5,-59.8
23.9,-93.3
2.6,24.5
-33.1,-55.1
2.8,25.2
-0.3,-69.0
-8.2,-47.6
-8.2,-47.5
6.4,25.6
-20.3,-66.7
-18.3,160.6
-27.4,-52.7
-15.4,-71.0
-0.1,-68.6
1.3,-69.2
-8.9,151.5
-8.8,151.4
26.8,-151.3
26.9,-151.2
25.1,-92.2
-32.9,-55.9
-15.4,125.6
27.1,-150.9
27.0,-151.2
-15.6,125.6
27.1,-151.0
-4.3,107.4
2.7,24.4
5.7,66.5
24.7,-92.8
-20.6,-66.3
-20.7,-66.3
-2.8,27.7
0.6,-23.5
6.8,25.6
2.0,1.1
-23.3,-48.2
-5.0,124.7
4.8,24.5
5.1,24.7
-11.3,-60.8
-7.9,150.0
0.7,-69.7
0.7,-69.6
-6.1,-51.1
-8.0,149.8
-28.8,152.9
-8.2,150.1
-4.6,96.8
-4.5,96.9
23.2,46.7
27.6,-54.2
0.2,-75.7
-11.1,-57.3
1.3,-73.7
-12.7,128.6
-11.0,-57.3
32.6,48.9
-6.0,109.0
-34.0,-56.3
-13.5,-62.6
17.6,-127.1
-24.7,-67.3
-22.0,-43.7
-23.9,17.2
-14.9,-72.3
-8.5,-62.0
-23.7,17.1
1.0,-75.7
-36.3,-61.8
6.3,25.4
-0.3,-68.0
7.0,69.6
1.2,-69.9
-41.1,-53.6
-15.7,124.9
-6.5,28.9
0.5,-76.1
